Re,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
1.510000000000000000e+02,2.241625078022480011e-02,3.419840242713689804e-03,3.564161248505115509e-03,2.637822367250919342e-02,1.653629541397094727e-01,3.443225845694541931e-02
1.520000000000000000e+02,2.247711457312107086e-02,3.434505546465516090e-03,3.563506994396448135e-03,2.642486058175563812e-02,1.670803576707839966e-01,3.466783836483955383e-02
1.530000000000000000e+02,2.253873087465763092e-02,3.449542913585901260e-03,3.565293503925204277e-03,2.647214569151401520e-02,1.688215732574462891e-01,3.493003547191619873e-02
1.540000000000000000e+02,2.260088548064231873e-02,3.464947221800684929e-03,3.569430904462933540e-03,2.651998214423656464e-02,1.705859452486038208e-01,3.521885722875595093e-02
1.550000000000000000e+02,2.266370691359043121e-02,3.480623243376612663e-03,3.575777169317007065e-03,2.656845748424530029e-02,1.723723858594894409e-01,3.553438931703567505e-02
1.560000000000000000e+02,2.272717282176017761e-02,3.496632678434252739e-03,3.584285732358694077e-03,2.661750093102455139e-02,1.741806417703628540e-01,3.587649390101432800e-02
1.570000000000000000e+02,2.279143221676349640e-02,3.512915456667542458e-03,3.595027839764952660e-03,2.666710875928401947e-02,1.760098189115524292e-01,3.624520823359489441e-02
1.580000000000000000e+02,2.285650558769702911e-02,3.529434092342853546e-03,3.607911756262183189e-03,2.671736665070056915e-02,1.778590083122253418e-01,3.664040565490722656e-02
1.590000000000000000e+02,2.292220667004585266e-02,3.546242835000157356e-03,3.622731426730751991e-03,2.676819264888763428e-02,1.797284781932830811e-01,3.706133738160133362e-02
1.600000000000000000e+02,2.298865281045436859e-02,3.563259029760956764e-03,3.639884991571307182e-03,2.681959234178066254e-02,1.816165894269943237e-01,3.750839084386825562e-02
1.610000000000000000e+02,2.305574342608451843e-02,3.580516437068581581e-03,3.659070236608386040e-03,2.687150053679943085e-02,1.835234612226486206e-01,3.798085078597068787e-02
1.620000000000000000e+02,2.312348969280719757e-02,3.598125185817480087e-03,3.680308116599917412e-03,2.692398987710475922e-02,1.854483783245086670e-01,3.847820311784744263e-02
1.630000000000000000e+02,2.319170720875263214e-02,3.615959547460079193e-03,3.704397939145565033e-03,2.697710134088993073e-02,1.873903870582580566e-01,3.900044038891792297e-02
